J,I,n,J,X,b,r,E,d,,,
C,I,n,J,X,b,E,d,,,,
0,0,0,0,0,0,0,2,,,,
,,,,,,,,,,,
,,,,,,,,,,,
v,c,l,k,e,n,o,,,,,
v,c,l,k,e,n,o,,,,,
0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
h,ar,m,a,n,I,k,x,,,,
h,ar,m,a,n,I,k,x,,,,
0,0,0,0,1,0,0,0,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s,t,E,T,x,s,k,o,p,,,
s,t,E,T,x,s,k,o,p,,,
0,0,0,10,0,0,0,0,0,,,
,,,,,,,,,,,
,,,,,,,,,,,
s,p,x,g,E,F,i,,,,,
s,p,x,g,E,t,i,,,,,
0,0,0,0,0,0,2,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
k,a,n,s,t,x,t,u,S,x,n,
k,a,n,s,t,I,t,u,S,t,x,n
0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
p,i,p,,,,,,,,,
p,i,p,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
b,I,b,,,,,,,,,
b,I,b,,,,,,,,,
0,0,2,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
n,Y,n,,,,,,,,,
n,Y,n,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
t,a,t,,,,,,,,,
t,a,t,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
d,@,d,,,,,,,,,
d,@,d,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
m,a,m,,,,,,,,,
m,a,m,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
k,I,k,,,,,,,,,
k,I,k,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
g,@,g,,,,,,,,,
g,@,g,,,,,,,,,
0,0,3,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
f,Y,f,,,,,,,,,
f,Y,f,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s,I,s,,,,,,,,,
s,I,s,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
z,u,z,,,,,,,,,
z,u,z,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
C,R,C,,,,,,,,,
C,R,C,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
l,^,l,,,,,,,,,
l,^,l,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
r,cr,,,,,,,,,,
r,cr,,,,,,,,,,
0,0,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
S,^,S,,,,,,,,,
S,^,S,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
J,^,J,,,,,,,,,
J,^,J,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
T,I,k,,,,,,,,,
T,I,k,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
T,I,k,X,,,,,,,,
T,I,k,X,,,,,,,,
0,0,0,2,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
T,I,k,x,n,I,G,,,,,
T,I,k,x,n,I,G,,,,,
0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
J,@,b,,,,,,,,,
J,@,b,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
J,@,b,X,,,,,,,,
J,@,b,X,,,,,,,,
0,0,0,6,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
J,@,b,X,I,G,,,,,,
J,@,b,X,I,G,,,,,,
0,0,0,0,0,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
z,I,p,,,,,,,,,
z,I,p,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
z,I,p,X,,,,,,,,
z,I,p,X,,,,,,,,
0,0,0,2,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
z,I,p,X,I,G,,,,,,
z,I,p,X,I,G,,,,,,
0,0,0,0,0,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
f,l,@,t,,,,,,,,
f,l,@,t,,,,,,,,
0,0,0,0,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
f,l,@,F,X,,,,,,,
f,l,@,F,X,,,,,,,
0,0,0,0,0,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
f,l,@,F,X,I,G,,,,,
f,l,@,F,X,d,I,G,,,,
0,0,0,0,0,0,0,0,,,,
